,Gene stable ID,Gene stable ID version,NCBI gene (formerly Entrezgene) ID,Gene description,EntrezGene transcript name ID,Interpro ID,Interpro Short Description,Unnamed: 0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36
0,ENSG00000133101,ENSG00000133101.10,8900.0,cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577],,IPR004367,Cyclin_C-dom,ENSG00000133101.10,37.5333952861671,16.4951542038175,1.37879615146284,12.7966407121661,2.88118055838745,2.78555489940989,7.8402219708285,3.30644914862575,3.10845062508622,1.35437649622318,2.14584301354953,1.55341442888329,1.24230636773498,0.923684398399373,1.48611104814791,0.419145612928739,5.65530407514982,4.41024012565559,1.28384520180475,1.03574930711566,2.71612640310471,0.92057441059404,0.371171258220337,0.589379926288044,1.01952267670529,0.505423004659256,0.215262560819816,0.357910520315117,0.488985747593864,0.502368985600207,0.236484380749667,0.325526329074441,0.382292985488424,1.62250619029007,0.2533754416147,0.21059357389711
6,ENSG00000102554,ENSG00000102554.14,688.0,Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349],,IPR013087,Znf_C2H2_type,ENSG00000102554.14,6.22071772913917,6.85669472879399,8.60368798512812,3.6351745841262,5.41099763404473,10.4031948284084,7.50068479886348,28.897968799786,40.032631711347,4.90377696908392,3.19518461387332,5.40818356722332,4.27914728933662,3.35443281523983,4.4943713373613,7.05698702663601,4.06260411511483,9.16539891693243,4.10830464577521,1.8125612874524,2.92241448435317,1.16072425683596,2.43912541116222,2.0360397453587,5.28298114292739,4.18122667490839,3.44420097311706,1.51117775244161,1.95594299037546,1.16172827920048,2.2702500551968,3.65312880405762,2.82900632191289,3.94564005365993,2.09056909683269,3.07466617889781
9,ENSG00000102837,ENSG00000102837.7,10562.0,olfactomedin 4 [Source:HGNC Symbol;Acc:HGNC:17190],,IPR003112,Olfac-like_dom,ENSG00000102837.7,13.6702919211761,17.9448470910889,135.056033659549,273.051305756795,451.516621756463,332.174579351671,61.3373592484641,313.153497623246,608.79840245166,21.0032503796888,178.910501691196,307.151629576601,20.2411737175878,51.3841255482421,325.816565188935,66.3377570126186,490.3404785163,2695.96357654791,0.727512281022693,1.03574930711566,5.98235435620532,23.2146452366168,20.8530375804041,48.1471962983765,14.6440529926759,5.46784985458735,81.6392302936708,1.47140991685104,1.62995249197955,1.60130114160066,23.6036006363766,11.1040647806504,152.913868246396,19.9142353530727,35.3578144229368,31.1705024158034
12,ENSG00000070371,ENSG00000070371.16,8218.0,clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093],,IPR000547,Clathrin_H-chain/VPS_repeat,ENSG00000070371.16,6.92766259234693,9.55363285067374,17.9739590545465,7.31665633539791,18.4902221878894,28.6444295112236,16.2692631318756,51.961862923122,63.7804450201253,6.65648026311011,7.67717884450289,17.4122223333529,5.48841750995925,5.25041658037538,12.6964968579111,12.155013202127,6.69278624098333,23.2193312843202,5.42501628474616,4.01357172129431,6.1185044898293,6.40199465106595,8.47680919523607,7.87625901494023,7.04397485723652,4.31392318740438,5.33459372972452,2.42253724067067,2.06460648984076,1.87367932598077,4.95955043308201,3.50845043558009,6.07685283872689,3.85684471488224,4.87244141418089,3.91704047448624
20,ENSG00000211673,ENSG00000211673.2,,immunoglobulin lambda variable 3-1 [Source:HGNC Symbol;Acc:HGNC:5896],,,,ENSG00000211673.2,0.861238516244863,8.89304306474413,14.8262225926029,2.99682966539322,6.51287351588656,11.5046259748587,7.39295891430367,15.7788624693747,15.3581666350215,1.42190851048313,1.95129090370126,8.28556736045707,0.598147510390918,0.640404977900786,10.9934445573805,7.09647054337389,1.16446037556791,19.0528191747503,0.770606684963273,0.647472785610677,6.17684963547574,1.6568338141974,1.06679922059071,1.65063885355962,1.39109235042451,1.65424949424975,10.0225387267463,0.914620450747486,0.327620450887889,1.10527456444365,0.1418906284498,0.369002178801939,0.114802583542174,1.36438020547119,1.20872754422293,2.93900179859329
21,ENSG00000142192,ENSG00000142192.21,351.0,amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620],,IPR002223,Kunitz_BPTI,ENSG00000142192.21,61.1885347632452,95.72318216564,144.033237522109,102.23259315261,103.266360028668,143.07650282852,100.786146036047,170.85880963477,204.019973905057,135.894728338474,69.2305576557166,164.149590369436,80.0858321321991,75.7920482412305,104.865104064044,161.331493631704,112.535228456352,139.494374165063,61.24887378574,66.8843314751952,72.2400919350917,54.5750932078109,78.9652005013439,96.8372115088644,76.8025895976829,73.2539886032939,139.816434400932,60.5775088305657,65.6881720617704,48.0095828662389,68.9165620193248,68.347616561246,99.0110160441107,98.1308706452149,66.2878296597963,75.2775574825323
39,ENSG00000273899,ENSG00000273899.5,,nucleolar protein 12 [Source:HGNC Symbol;Acc:HGNC:28585],,,,ENSG00000273899.5,8.41798773341303,10.903140205168,11.8188475788783,8.58500179484122,12.2253410181138,12.6994016344688,13.0428883228171,13.0255495306798,12.0534270650651,8.74133271717559,8.76156843520376,9.96820285627636,7.71890957620698,8.02968570522242,7.97995191885171,11.2752684751508,7.38622632008038,9.76715972356502,9.77977641442783,8.20507654230687,7.27492109196129,7.48306920889834,7.52878477727587,7.51362962029318,8.3712080145474,12.28779814173,8.47393986420856,5.47074183868775,6.94832447805961,6.02673233187608,6.37334865495582,6.00852881246391,6.51679560642697,6.34827672035401,6.29216735740846,5.43975836990669
41,ENSG00000242550,ENSG00000242550.6,5273.0,serpin family B member 10 [Source:HGNC Symbol;Acc:HGNC:8942],,IPR000215,Serpin_fam,ENSG00000242550.6,2.73992835936898,2.31711858541464,20.2268843901138,28.1344336938447,37.6648301674406,48.3991300733651,46.7782213837137,128.948118627304,136.327369501218,7.67945484149882,16.593196859069,25.8809775286827,8.97382305300713,8.36668466573318,32.6599219380313,20.5607688966064,5.55843204299196,34.7944936065339,2.11727471197634,2.38235287502941,2.97058275132469,9.57853671725662,8.15007243907125,8.25560536749654,3.96622126402266,3.25924321931815,6.44440138828717,3.18198359694375,3.02981002384131,3.03726009081565,1.72468058880732,1.29968195362577,3.49725446054665,4.70220731516405,6.65420919154567,5.72814521000139
48,ENSG00000080189,ENSG00000080189.15,51006.0,solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117],,IPR004853,Sugar_P_trans_dom,ENSG00000080189.15,18.3904600317049,20.8881938229159,23.8009721980128,14.4478774582033,19.9183039270979,33.2771483972973,10.5555933360796,24.7071997175726,32.9001265072357,17.6359434916134,11.5229209178517,18.4251636087202,10.7844155669604,7.1411985438989,16.6052165997148,17.0241439583975,13.944882054999,21.4018510102339,13.0545659603513,12.6602658744226,11.4242339395397,8.66912927451283,11.1495604012153,12.8514828727041,16.3258946737208,20.2059387229054,21.3018233360709,9.82504146100587,14.4464319316639,9.42538411170787,8.01757725743211,9.5899333153488,9.14043413653548,11.3690852510659,9.13928385097244,12.0035388811318
49,ENSG00000160209,ENSG00000160209.19,8566.0,pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819],,IPR004625,PyrdxlKinase,ENSG00000160209.19,19.9498748462734,32.9628426045546,42.755834410633,24.524540096599,41.7641879204536,45.0176938177182,31.8907510736732,74.5069698971615,72.2019230428296,22.3938214202076,20.1811097025282,33.0692014298031,20.8555632334532,18.9306686703535,28.5260873330801,38.740287737042,22.3188571315461,35.0787379692786,26.3415506970694,24.2669157661818,24.5986159603913,17.0392319654801,17.5983428660009,18.9590127288539,20.0987773646883,25.1234748205105,34.3038111671243,15.9466236969689,21.0265501417854,12.5075120325499,25.2054512378225,13.5830562853286,20.3332081656656,16.726563816263,19.1867919724128,15.6166507097697
